RESPONSE,answer,item,list,structure,verb,Participant,accuracy
Yes,No,50,3,filler,none,2,incorrect
Yes,No,50,3,filler,none,2,incorrect
Yes,No,50,3,filler,none,2,incorrect
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,59,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
No,No,62,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
Yes,Yes,64,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,66,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
No,No,68,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,Yes,72,3,filler,none,2,correct
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,No,73,3,filler,none,2,incorrect
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,74,3,filler,none,2,correct
Yes,Yes,77,3,filler,none,2,correct
